ID,NO
BASLIK,NO
ACIKLAMA,YES
ONCELIK,NO
DURUM,NO
ATAMATIPI,NO
BITISTARIHI,YES
TAMAMLANMATARIHI,YES
HATIRLATMAGONDERILDIORTASI,NO
HATIRLATMAGONDERILDIBITIMI,NO
GOREVTIPIID,YES
ATANANKULLANICIID,YES
ATANANGRUPID,YES
OLUSTURANKULLANICIID,NO
UZERINEALANKULLANICIID,YES
AKTIF,NO
CREATEDAT,NO
UPDATEDAT,YES
CREATEDBY,YES
UPDATEDBY,YES
